label,n,pos_rate,threshold,auc_roc,auc_pr,log_loss,accuracy,precision,recall,f1,tp,fp,tn,fn
baseline_valid@0.3,900,0.5944444444444444,0.3,0.7684957111765458,0.8224293229260715,0.5639509403655322,0.6655555555555556,0.6511627906976745,0.9420560747663551,0.7700534759358288,504,270,95,31
baseline_valid@0.5,900,0.5944444444444444,0.5,0.7684957111765458,0.8224293229260715,0.5639509403655322,0.71,0.7353951890034365,0.8,0.7663384064458371,428,154,211,107
baseline_valid@0.7,900,0.5944444444444444,0.7,0.7684957111765458,0.8224293229260715,0.5639509403655322,0.6577777777777778,0.8328445747800587,0.5308411214953271,0.6484018264840182,284,57,308,251
baseline_valid_best_f1,900,0.5944444444444444,0.44,0.7684957111765458,0.8224293229260715,0.5639509403655322,0.7066666666666667,0.7068702290076336,0.8654205607476636,0.7781512605042017,463,192,173,72
final_test@0.3,1500,0.5946666666666667,0.3,0.757535918692471,0.8150157125475822,0.5717498608489633,0.658,0.6415235250186706,0.9630044843049327,0.770058269834155,859,480,128,33
final_test@0.5,1500,0.5946666666666667,0.5,0.757535918692471,0.8150157125475822,0.5717498608489633,0.7013333333333334,0.7251521298174443,0.8015695067264574,0.7614483493077743,715,271,337,177
final_test@0.7,1500,0.5946666666666667,0.7,0.757535918692471,0.8150157125475822,0.5717498608489633,0.624,0.8253968253968254,0.4663677130044843,0.5959885386819485,416,88,520,476
final_test_best_f1,1500,0.5946666666666667,0.41000000000000003,0.757535918692471,0.8150157125475822,0.5717498608489633,0.6973333333333334,0.691768826619965,0.8856502242152466,0.7767944936086529,790,352,256,102
